,url,title,other titles,other urls,scores
1467938,https://en.wikipedia.org/wiki/Kennel,Kennel,"['Pet Fed India', 'Dog food', 'Cropping (animal)', 'Kitten', 'Lychee and Dog Meat Festival']","['https://en.wikipedia.org/wiki/Pet_Fed_India', 'https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Cropping_(animal)', 'https://en.wikipedia.org/wiki/Kitten', 'https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival']","[0.99, 0.33, 0.33, 0.33, 0.33]"
275388,https://en.wikipedia.org/wiki/Cynology,Cynology,"['Dog Parker', 'Big Miracle (book)', 'Indian National Kennel Club', 'Walter the Farting Dog', 'Dogs in the American Revolutionary War']","['https://en.wikipedia.org/wiki/Dog_Parker', 'https://en.wikipedia.org/wiki/Big_Miracle_(book)', 'https://en.wikipedia.org/wiki/Indian_National_Kennel_Club', 'https://en.wikipedia.org/wiki/Walter_the_Farting_Dog', 'https://en.wikipedia.org/wiki/Dogs_in_the_American_Revolutionary_War']","[0.95, 0.95, 0.95, 0.95, 0.95]"
2352562,https://en.wikipedia.org/wiki/Pack_(canine),Pack (canine),"['Dog', 'Service dog', 'Cat senses', 'Dogs in religion', 'Cynophobia']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Service_dog', 'https://en.wikipedia.org/wiki/Cat_senses', 'https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Cynophobia']","[1.0, 0.99, 0.98, 0.98, 0.98]"
17021807,https://en.wikipedia.org/wiki/Rare_breed_(dog),Rare breed (dog),[],[],[]
20777185,https://en.wikipedia.org/wiki/Dogs_in_ancient_China,Dogs in ancient China,"['Becerrillo', 'Puppy', 'Body language of dogs', 'Dogs in religion', 'Tail wagging by dogs']","['https://en.wikipedia.org/wiki/Becerrillo', 'https://en.wikipedia.org/wiki/Puppy', 'https://en.wikipedia.org/wiki/Body_language_of_dogs', 'https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs']","[0.83, 0.8, 0.61, 0.6, 0.6]"
4020758,https://en.wikipedia.org/wiki/Dog_biscuit,Dog biscuit,"['Kitten', 'Lychee and Dog Meat Festival', 'Cropping (animal)', 'Dog food', 'Cat meat']","['https://en.wikipedia.org/wiki/Kitten', 'https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival', 'https://en.wikipedia.org/wiki/Cropping_(animal)', 'https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Cat_meat']","[0.99, 0.99, 0.99, 0.99, 0.99]"
17430047,https://en.wikipedia.org/wiki/Breed_type_(dog),Breed type (dog),"['Therapy cat', 'Human interaction with cats', 'Whale', 'Cat', 'Dog World (newspaper)']","['https://en.wikipedia.org/wiki/Therapy_cat', 'https://en.wikipedia.org/wiki/Human_interaction_with_cats', 'https://en.wikipedia.org/wiki/Whale', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)']","[0.92, 0.91, 0.91, 0.9, 0.9]"
2676271,https://en.wikipedia.org/wiki/Canid_hybrid,Canid hybrid,"['Canine reproduction', 'Dog World (newspaper)', 'Cat predation on wildlife', 'Pack (canine)', 'Cat senses']","['https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Cat_predation_on_wildlife', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Cat_senses']","[1.0, 0.99, 0.96, 0.96, 0.96]"
22044074,https://en.wikipedia.org/wiki/Canine_physical_therapy,Canine physical therapy,"['Cat gap', 'Dog food', 'Cropping (animal)', 'Kitten', 'Lychee and Dog Meat Festival']","['https://en.wikipedia.org/wiki/Cat_gap', 'https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Cropping_(animal)', 'https://en.wikipedia.org/wiki/Kitten', 'https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival']","[0.91, 0.82, 0.82, 0.82, 0.82]"
19282291,https://en.wikipedia.org/wiki/Dogs_in_Mesoamerica,Dogs in Mesoamerica,['Becerrillo'],['https://en.wikipedia.org/wiki/Becerrillo'],[0.09]
23416702,https://en.wikipedia.org/wiki/Interbreeding_of_dingoes_with_other_domestic_dogs,Interbreeding of dingoes with other domestic dogs,"['Canid hybrid', 'Canine reproduction', 'Dog World (newspaper)', 'Pack (canine)', 'Cat predation on wildlife']","['https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Cat_predation_on_wildlife']","[0.7, 0.68, 0.68, 0.67, 0.67]"
5740890,https://en.wikipedia.org/wiki/Canine_reproduction,Canine reproduction,"['Dog World (newspaper)', 'Canid hybrid', 'Cat predation on wildlife', 'Pack (canine)', 'Cat senses']","['https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Cat_predation_on_wildlife', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Cat_senses']","[1.0, 1.0, 0.94, 0.93, 0.93]"
31752133,https://en.wikipedia.org/wiki/PDSA_Certificate_for_Animal_Bravery_or_Devotion,PDSA Certificate for Animal Bravery or Devotion,"['Cat bite', 'Tail wagging by dogs', 'Dog bite prevention', 'Origin of the domestic dog', 'The Dog Pillow']","['https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/The_Dog_Pillow']","[1.0, 1.0, 1.0, 1.0, 1.0]"
33069847,https://en.wikipedia.org/wiki/Cropping_(animal),Cropping (animal),"['Dog food', 'Kitten', 'Lychee and Dog Meat Festival', 'Cat meat', 'Dog meat']","['https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Kitten', 'https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival', 'https://en.wikipedia.org/wiki/Cat_meat', 'https://en.wikipedia.org/wiki/Dog_meat']","[1.0, 1.0, 1.0, 1.0, 1.0]"
32912733,https://en.wikipedia.org/wiki/Pet_Check_Technology,Pet Check Technology,['Breed type (dog)'],['https://en.wikipedia.org/wiki/Breed_type_(dog)'],[0.27]
24243398,https://en.wikipedia.org/wiki/Dog_daycare,Dog daycare,"['The Ten Commandments of Dog Ownership', 'Dog bite', 'Cat bite', 'Tail wagging by dogs', 'Dog bite prevention']","['https://en.wikipedia.org/wiki/The_Ten_Commandments_of_Dog_Ownership', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention']","[0.93, 0.38, 0.38, 0.38, 0.38]"
17862013,https://en.wikipedia.org/wiki/Dogs_in_religion,Dogs in religion,"['Service dog', 'Dog bite', 'Tail wagging by dogs', 'Dog bite prevention', 'Cat bite']","['https://en.wikipedia.org/wiki/Service_dog', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Cat_bite']","[1.0, 1.0, 1.0, 1.0, 1.0]"
34442389,https://en.wikipedia.org/wiki/The_Ten_Commandments_of_Dog_Ownership,The Ten Commandments of Dog Ownership,"['Dog daycare', 'Human interaction with cats', 'Becerrillo', 'Fel d 1']","['https://en.wikipedia.org/wiki/Dog_daycare', 'https://en.wikipedia.org/wiki/Human_interaction_with_cats', 'https://en.wikipedia.org/wiki/Becerrillo', 'https://en.wikipedia.org/wiki/Fel_d_1']","[0.93, 0.05, 0.02, 0.01]"
178449,https://en.wikipedia.org/wiki/Roan_(color),Roan (color),"['Therapy cat', 'Whale', 'Human interaction with cats', 'Cat', 'Dog World (newspaper)']","['https://en.wikipedia.org/wiki/Therapy_cat', 'https://en.wikipedia.org/wiki/Whale', 'https://en.wikipedia.org/wiki/Human_interaction_with_cats', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)']","[0.16, 0.16, 0.16, 0.16, 0.15]"
36477294,https://en.wikipedia.org/wiki/Panhu,Panhu,[],[],[]
31804256,https://en.wikipedia.org/wiki/The_Dog_Pillow,The Dog Pillow,"['Cat bite', 'Tail wagging by dogs', 'Dog bite prevention', 'Origin of the domestic dog', 'The Dog Pillow']","['https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/The_Dog_Pillow']","[1.0, 1.0, 1.0, 1.0, 1.0]"
37049778,https://en.wikipedia.org/wiki/Queen_Elizabeth's_corgis,Queen Elizabeth's corgis,"['Dogs in the American Revolutionary War', 'Indian National Kennel Club', 'Dog Parker', ""Queen Elizabeth's corgis"", 'Walter the Farting Dog']","['https://en.wikipedia.org/wiki/Dogs_in_the_American_Revolutionary_War', 'https://en.wikipedia.org/wiki/Indian_National_Kennel_Club', 'https://en.wikipedia.org/wiki/Dog_Parker', ""https://en.wikipedia.org/wiki/Queen_Elizabeth's_corgis"", 'https://en.wikipedia.org/wiki/Walter_the_Farting_Dog']","[1.0, 1.0, 1.0, 1.0, 1.0]"
22345050,https://en.wikipedia.org/wiki/Dog_World_(newspaper),Dog World (newspaper),"['Canine reproduction', 'Canid hybrid', 'Cat predation on wildlife', 'Pack (canine)', 'Cat senses']","['https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Cat_predation_on_wildlife', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Cat_senses']","[1.0, 0.99, 0.94, 0.93, 0.93]"
5141410,https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog,Origin of the domestic dog,"['Cat bite', 'Tail wagging by dogs', 'Dog bite prevention', 'Origin of the domestic dog', 'The Dog Pillow']","['https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/The_Dog_Pillow']","[1.0, 1.0, 1.0, 1.0, 1.0]"
9369613,https://en.wikipedia.org/wiki/Cynophobia,Cynophobia,"['Dog', 'Service dog', 'Dogs in religion', 'Pack (canine)', 'Cat bite']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Service_dog', 'https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Cat_bite']","[0.98, 0.98, 0.98, 0.98, 0.98]"
10579085,https://en.wikipedia.org/wiki/Walter_the_Farting_Dog,Walter the Farting Dog,"['Dogs in the American Revolutionary War', 'Indian National Kennel Club', 'Dog Parker', ""Queen Elizabeth's corgis"", 'Walter the Farting Dog']","['https://en.wikipedia.org/wiki/Dogs_in_the_American_Revolutionary_War', 'https://en.wikipedia.org/wiki/Indian_National_Kennel_Club', 'https://en.wikipedia.org/wiki/Dog_Parker', ""https://en.wikipedia.org/wiki/Queen_Elizabeth's_corgis"", 'https://en.wikipedia.org/wiki/Walter_the_Farting_Dog']","[1.0, 1.0, 1.0, 1.0, 1.0]"
38928070,https://en.wikipedia.org/wiki/Puppy_pregnancy_syndrome,Puppy pregnancy syndrome,"['Dog bite', 'Cat bite', 'Tail wagging by dogs', 'Dog bite prevention', 'Origin of the domestic dog']","['https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog']","[0.87, 0.87, 0.87, 0.87, 0.87]"
31903693,https://en.wikipedia.org/wiki/Human–canine_bond,Human–canine bond,"['Cat bite', 'Dog bite', 'Tail wagging by dogs', 'Dog bite prevention', 'PDSA Certificate for Animal Bravery or Devotion']","['https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/PDSA_Certificate_for_Animal_Bravery_or_Devotion']","[0.96, 0.96, 0.96, 0.96, 0.96]"
849619,https://en.wikipedia.org/wiki/Mastiff,Mastiff,['Feline zoonosis'],['https://en.wikipedia.org/wiki/Feline_zoonosis'],[0.61]
21303741,https://en.wikipedia.org/wiki/My_Life_in_Dog_Years,My Life in Dog Years,[],[],[]
5205615,https://en.wikipedia.org/wiki/Puppy,Puppy,"['Tail wagging by dogs', 'Cat bite', 'Dog bite', 'Dog bite prevention', 'Origin of the domestic dog']","['https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog']","[0.96, 0.96, 0.96, 0.96, 0.96]"
42498898,https://en.wikipedia.org/wiki/Bog_Dog,Bog Dog,['Rolfi'],['https://en.wikipedia.org/wiki/Rolfi'],[1.0]
44444481,https://en.wikipedia.org/wiki/Becerrillo,Becerrillo,"['Dogs in ancient China', 'Cats in ancient Egypt', 'Puppy', 'Chiengora', 'Therapy cat']","['https://en.wikipedia.org/wiki/Dogs_in_ancient_China', 'https://en.wikipedia.org/wiki/Cats_in_ancient_Egypt', 'https://en.wikipedia.org/wiki/Puppy', 'https://en.wikipedia.org/wiki/Chiengora', 'https://en.wikipedia.org/wiki/Therapy_cat']","[0.83, 0.42, 0.38, 0.31, 0.3]"
11159584,https://en.wikipedia.org/wiki/Chiengora,Chiengora,"['Pinch-induced behavioral inhibition', 'Cat anatomy', 'Feral cat', 'Becerrillo', 'Dogs in ancient China']","['https://en.wikipedia.org/wiki/Pinch-induced_behavioral_inhibition', 'https://en.wikipedia.org/wiki/Cat_anatomy', 'https://en.wikipedia.org/wiki/Feral_cat', 'https://en.wikipedia.org/wiki/Becerrillo', 'https://en.wikipedia.org/wiki/Dogs_in_ancient_China']","[0.94, 0.84, 0.68, 0.31, 0.26]"
37331361,https://en.wikipedia.org/wiki/Lists_of_dogs,Lists of dogs,['Drafting dog'],['https://en.wikipedia.org/wiki/Drafting_dog'],[0.85]
47048387,https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival,Lychee and Dog Meat Festival,"['Cat meat', 'Dog meat', 'Walter the Farting Dog', 'Dogs in the American Revolutionary War', 'Big Miracle (book)']","['https://en.wikipedia.org/wiki/Cat_meat', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Walter_the_Farting_Dog', 'https://en.wikipedia.org/wiki/Dogs_in_the_American_Revolutionary_War', 'https://en.wikipedia.org/wiki/Big_Miracle_(book)']","[1.0, 1.0, 1.0, 1.0, 1.0]"
1505145,https://en.wikipedia.org/wiki/Saint_Guinefort,Saint Guinefort,"['Rabies in Haiti', 'Cynophobia']","['https://en.wikipedia.org/wiki/Rabies_in_Haiti', 'https://en.wikipedia.org/wiki/Cynophobia']","[0.19, 0.17]"
47079044,https://en.wikipedia.org/wiki/Jed_(wolfdog),Jed (wolfdog),"['Koneko (cat cafe)', 'Dog bite', 'Cat bite', 'Tail wagging by dogs', 'Dog bite prevention']","['https://en.wikipedia.org/wiki/Koneko_(cat_cafe)', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention']","[0.85, 0.08, 0.08, 0.08, 0.08]"
76940,https://en.wikipedia.org/wiki/Service_dog,Service dog,"['Dogs in religion', 'Dog', 'Dog bite', 'Tail wagging by dogs', 'Dog bite prevention']","['https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention']","[1.0, 1.0, 1.0, 1.0, 1.0]"
4269567,https://en.wikipedia.org/wiki/Dog,Dog,"['Service dog', 'Pack (canine)', 'Dogs in religion', 'PDSA Certificate for Animal Bravery or Devotion', 'The Dog Pillow']","['https://en.wikipedia.org/wiki/Service_dog', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/PDSA_Certificate_for_Animal_Bravery_or_Devotion', 'https://en.wikipedia.org/wiki/The_Dog_Pillow']","[1.0, 1.0, 0.99, 0.99, 0.99]"
42707354,https://en.wikipedia.org/wiki/Canine_Efficiency,Canine Efficiency,[],[],[]
